iso2,priority,v7_listed_product,v7_listed_ean,v7_listed_pi,v7_listed_evidence,research_candidates,research_verified_market,research_types_verified,strongest_research_evidence,use_rule,selection_status
CH,★★★★★,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,PI-ING-000492,LEAD,3,1,STABILIZER_BLEND,STABILIZER_BLEND: Eiscreme Stabilisator [3700105234436] VERIFIED_MARKET_EVIDENCE,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
CL,★★★★,Goma Tara 100 Grs,,PI-ING-000492,BRAK,2,1,GUAR,GUAR: Goma Guar 1 Kg En Polvo Grado Alimenticio [00799986104581] VERIFIED_MARKET_EVIDENCE,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
CN,★★★★,"他拉胶 / 刺云实胶 / 塔拉胶 (Tara gum), food grade",,PI-ING-000492,BRAK,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
CO,★★★★,Tara Gum — Home 50g,819543011967,PI-ING-000492,LEAD,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
CR,★★★★,Tara Gum — Home 50g,819543011967,PI-ING-000492,LEAD,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
CY,★★★★,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,PI-ING-000492,LEAD,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
CZ,★★★★,Guma Tara Valknut / Tara guma Valknut,,PI-ING-000492,BRAK,3,1,GUAR,GUAR: Guarová guma – Natural 100g [8594010317804] VERIFIED_MARKET_EVIDENCE,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
DE,★★★★★,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,PI-ING-000492,LEAD,3,3,GUAR;LBG;TARA,TARA: Tarakernmehl NV [4251791522288] VERIFIED_MARKET_EVIDENCE,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
DK,★★★★★,Gum tara 1 kg,,PI-ING-000492,BRAK,1,1,LBG,LBG: Johannesbrød kernemel 100 g [5703137936819] VERIFIED_MARKET_EVIDENCE,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
DO,★★★★,Tara Gum — Home 50g,819543011967,PI-ING-000492,LEAD,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
DZ,★★★★,Cape Crystal Brands Tara Gum Powder,711221973065,PI-ING-000492,LEAD,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
EE,★★★★,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,PI-ING-000492,LEAD,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
EG,★★★★,Cape Crystal Brands Tara Gum Powder,,PI-ING-000492,BRAK,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
ES,★★★★★,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,PI-ING-000492,LEAD,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
FI,★★★★★,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,PI-ING-000492,LEAD,3,2,GUAR;STABILIZER_BLEND,"GUAR: Guarkumi, 100% puhdas jauhe 227 g [733739050403] VERIFIED_MARKET_EVIDENCE",D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
FR,★★★★★,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,PI-ING-000492,LEAD,2,0,,LBG: Gomme de caroube - 1 kg [3700434801217] VERIFIED_PRODUCT_EVIDENCE,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
GB,★★★★★,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,PI-ING-000492,LEAD,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
GH,★★★★,Cape Crystal Brands Tara Gum Powder,711221973058,PI-ING-000492,LEAD,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
GR,★★★★,Τάρα Γκαμ (Tara Gum) NoCarb 100 g,,PI-ING-000492,BRAK,1,0,,TARA: Τάρα Γκαμ (Tara Gum) 100g [] RESEARCH_LEAD,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
HK,★★★★,Tara Gum 50gr. / Gomma di Tara E417,8055728540170,PI-ING-000492,LEAD,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
HR,★★★★,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,PI-ING-000492,LEAD,2,0,,GUAR: Guar Guma - Organska 150g [] RESEARCH_LEAD,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
HU,★★★★,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,PI-ING-000492,LEAD,4,1,STABILIZER_BLEND,STABILIZER_BLEND: BABBI STABILIZÁTOR NEUTRO UNIVERSALE 10 C/F 1 KG [8012012148580] VERIFIED_MARKET_EVIDENCE,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
ID,★★★★,Tara Gum,,PI-ING-000492,BRAK,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
IE,★★★★★,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,PI-ING-000492,LEAD,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
IL,★★★★,Modernist Pantry Tara Gum 50 g,819543011967,PI-ING-000492,LEAD,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
IN,★★★★,Tara Gum Food Grade,,PI-ING-000492,BRAK,2,0,,"GUAR: Guar Gum Powder, 200g [783942636833] VERIFIED_PRODUCT_EVIDENCE",D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
IS,★★★★,Pure Tara Gum Powder 50 g,819543011967,PI-ING-000492,LEAD,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
IT,★★★★★,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,PI-ING-000492,LEAD,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
JP,★★★★,"スピノガムD (Spinogum D), tara gum",,PI-ING-000492,BRAK,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
KE,★★★★,Modernist Pantry Pure Tara Gum Powder,,PI-ING-000492,BRAK,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
KR,★★★★,Tara Gum 50gr. / Gomma di Tara E417,8055728540170,PI-ING-000492,LEAD,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
KW,★★★★,Modernist Pantry Pure Tara Gum Powder,819543011967,PI-ING-000492,LEAD,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
LK,★★★★,Organic Tara Gum Powder,653981866129,PI-ING-000492,LEAD,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
LT,★★★★,Tara guma,,PI-ING-000492,BRAK,2,0,,TARA: Tara guma 200g / 400g / 600g [] RESEARCH_LEAD,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
LU,★★★★,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,PI-ING-000492,LEAD,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
LV,★★★★,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,PI-ING-000492,LEAD,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
MA,★★★★,E417 - Gomme de Tara / Tara Gum,,PI-ING-000492,BRAK,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
MT,★★★★,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,PI-ING-000492,LEAD,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
MX,★★★★,Goma Tara — oferta spożywcza B2B,,PI-ING-000492,BRAK,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
MY,★★★★,Tara Gum Powder / Serbuk Gam Tara,,PI-ING-000492,BRAK,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
NG,★★★★,Cape Crystal Brands Tara Gum Powder,711221973058,PI-ING-000492,LEAD,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
NL,★★★★★,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,PI-ING-000492,LEAD,3,1,TARA,"TARA: Saporepuro TARA SEED FLOUR GUM (Tarakernmehl), 250 [0789011296908] VERIFIED_MARKET_EVIDENCE",D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
NO,★★★★★,Tarakernmehl / Tara gum 100 g,4251510635756,PI-ING-000492,LEAD,2,2,GUAR;LBG,GUAR: Guarkärnmjöl Ekologisk 125 g [7340051817534] VERIFIED_MARKET_EVIDENCE,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
NZ,★★★★★,Tara Gum 50gr. / Gomma di Tara E417,8055728540170,PI-ING-000492,LEAD,1,0,,GUAR: Organic Guar Gum 100g (also checked: PureNature Gu [] RESEARCH_LEAD,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
OM,★★★★,Modernist Pantry Pure Tara Gum Powder,819543011967,PI-ING-000492,LEAD,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
PA,★★★★,Tara Gum — Home 50g,819543011967,PI-ING-000492,LEAD,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
PH,★★★★,Tara Gum — Home 50g,819543011967,PI-ING-000492,LEAD,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
PK,★★★★,Tara Gum [E417] 100% USP Food Grade Powder,,PI-ING-000492,BRAK,1,0,,GUAR: Guar Gum - The Versatile Thickener for Food and Sk [] RESEARCH_LEAD,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
PL,★★★★★,Guma Tara (E417) 130002 SEMPRE,,PI-ING-000492,BRAK,2,0,,TARA: Guma Tara 100 g [05902888156907] VERIFIED_PRODUCT_EVIDENCE,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
PT,★★★★★,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,PI-ING-000492,LEAD,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
QA,★★★★,Modernist Pantry Pure Tara Gum Powder,819543011967,PI-ING-000492,LEAD,1,0,,GUAR: NOW Guar Gum Pure Powder [] RESEARCH_LEAD,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
RO,★★★★,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,PI-ING-000492,LEAD,5,0,,TARA: Tara Seed Flour / Gomma di Tara E417 [8055728540170] VERIFIED_PRODUCT_EVIDENCE,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
SA,★★★★,Cape Crystal Brands Tara Gum Powder,711221973058,PI-ING-000492,LEAD,1,0,,GUAR: NOW Guar Gum Pure Powder [733739050403] VERIFIED_PRODUCT_EVIDENCE,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
SE,★★★★★,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,PI-ING-000492,LEAD,2,2,GUAR;LBG,GUAR: Guarkärnmjöl EKO 125g [7340051811433] VERIFIED_MARKET_EVIDENCE,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
SG,★★★★,Tara Gum (塔拉胶) - 50g,,PI-ING-000492,BRAK,3,2,GUAR;STABILIZER_BLEND,GUAR: RedMan Guar Gum [39978025548] VERIFIED_MARKET_EVIDENCE,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
SI,★★★★,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,PI-ING-000492,LEAD,3,0,,TARA: Kobio (tara) guma [] RESEARCH_LEAD,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
SK,★★★★,Guma Tara Valknut / Tara guma Valknut,,PI-ING-000492,BRAK,3,2,GUAR;LBG,GUAR: Guarová guma 100g (bifeedus) [8594046763361] VERIFIED_MARKET_EVIDENCE,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
TH,★★★★,Tara Gum (China) 25g. A M,2033200071103,PI-ING-000492,LEAD,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
TN,★★★★,Cape Crystal Brands Tara Gum Powder,711221973058,PI-ING-000492,LEAD,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
TR,★★★★,Benosen Tara Gum (E417) 200 g,0795258101998,PI-ING-000492,LEAD,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
TW,★★★★,Tara Gum 50gr. / Gomma di Tara E417,8055728540170,PI-ING-000492,LEAD,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
US,★★★★★,Tara Gum — Home 50g,819543011967,PI-ING-000492,LEAD,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
UY,★★★★,Goma de Tara — oferta spożywcza B2B,,PI-ING-000492,BRAK,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
VN,★★★★,Tara Gum — food-use bulk raw material,,PI-ING-000492,BRAK,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
ZA,★★★★,UNIPEKTIN VIDOGUM SP native tara gum E417,,PI-ING-000492,BRAK,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
